Province/State,Country/Region,Confirmed,Deaths,Recovered,Last_Update
,Turkey,1,0,0,3/11/2020
,Turkey,1,0,0,3/12/2020
,Turkey,5,0,0,3/13/2020
,Turkey,5,0,0,3/14/2020
,Turkey,18,0,0,3/15/2020
,Turkey,47,0,0,3/16/2020
,Turkey,98,1,0,3/17/2020
,Turkey,191,2,0,3/18/2020
,Turkey,359,4,0,3/19/2020
,Turkey,670,9,0,3/20/2020
,Turkey,947,21,0,3/21/2020
,Turkey,1236,30,0,3/22/2020
,Turkey,1529,37,0,3/23/2020
,Turkey,1872,44,0,3/24/2020
,Turkey,2433,59,26,3/25/2020
,Turkey,3629,75,26,3/26/2020
,Turkey,5698,92,42,3/27/2020
,Turkey,7402,108,70,3/28/2020
,Turkey,9217,131,105,3/29/2020
,Turkey,10827,168,162,3/30/2020
,Turkey,13531,214,243,3/31/2020
,Turkey,15679,277,333,4/1/2020
,Turkey,18135,356,415,4/2/2020
,Turkey,20921,425,484,4/3/2020
,Turkey,23934,501,786,4/4/2020
,Turkey,27069,574,1042,4/5/2020
,Turkey,30217,649,1326,4/6/2020
,Turkey,34109,725,1582,4/7/2020
,Turkey,38226,812,1846,4/8/2020
,Turkey,42282,908,2142,4/9/2020
,Turkey,47029,1006,2423,4/10/2020
,Turkey,52167,1101,2965,4/11/2020
,Turkey,56956,1198,3446,4/12/2020
,Turkey,61049,1296,3957,4/13/2020
,Turkey,65111,1403,4799,4/14/2020
,Turkey,69392,1518,5674,4/15/2020
,Turkey,74193,1643,7089,4/16/2020
,Turkey,78546,1769,8631,4/17/2020
,Turkey,82329,1890,10453,4/18/2020
,Turkey,86306,2017,11976,4/19/2020
,Turkey,90980,2140,13430,4/20/2020
,Turkey,95591,2259,14918,4/21/2020
,Turkey,98674,2376,16477,4/22/2020
,Turkey,101790,2491,18491,4/23/2020
,Turkey,104912,2600,21737,4/24/2020
,Turkey,107773,2706,25582,4/25/2020
,Turkey,110130,2805,29140,4/26/2020
,Turkey,112261,2900,33791,4/27/2020
,Turkey,114653,2992,38809,4/28/2020
,Turkey,117589,3018,44022,4/29/2020
,Turkey,120204,3174,48886,4/30/2020
,Turkey,122392,3258,53808,5/1/2020
,Turkey,124375,3336,58259,5/2/2020
,Turkey,126045,3397,63151,5/3/2020
,Turkey,127659,3461,68166,5/4/2020
,Turkey,129491,3520,73285,5/5/2020
,Turkey,131744,3584,78202,5/6/2020
,Turkey,133721,3641,82984,5/7/2020
,Turkey,135569,3689,86396,5/8/2020
,Turkey,137115,3739,89480,5/9/2020
,Turkey,138657,3786,92691,5/10/2020
,Turkey,139771,3841,95780,5/11/2020
,Turkey,141475,3894,98889,5/12/2020
,Turkey,143114,3952,101715,5/13/2020
,Turkey,144749,4007,104030,5/14/2020
,Turkey,146457,4055,106133,5/15/2020
,Turkey,148067,4096,108137,5/16/2020
,Turkey,149435,4140,109962,5/17/2020
,Turkey,150593,4171,111577,5/18/2020
,Turkey,151615,4199,112895,5/19/2020
,Turkey,152587,4222,113987,5/20/2020
,Turkey,153548,4249,114990,5/21/2020
,Turkey,154500,4276,116111,5/22/2020
,Turkey,155686,4308,117602,5/23/2020
,Turkey,156827,4340,118694,5/24/2020
,Turkey,157814,4369,120015,5/25/2020
,Turkey,158762,4397,121507,5/26/2020
,Turkey,159797,4431,122793,5/27/2020
,Turkey,160979,4461,124369,5/28/2020
,Turkey,162120,4489,125963,5/29/2020
,Turkey,163103,4515,126984,5/30/2020
,Turkey,163942,4540,127973,5/31/2020
,Turkey,164769,4563,128947,6/1/2020
,Turkey,165555,4585,129921,6/2/2020
,Turkey,166422,4609,130852,6/3/2020
,Turkey,167410,4630,131778,6/4/2020
,Turkey,168340,4648,133400,6/5/2020
,Turkey,169218,4669,135322,6/6/2020
,Turkey,170132,4692,137969,6/7/2020
,Turkey,171121,4711,141380,6/8/2020
,Turkey,172114,4729,144598,6/9/2020
,Turkey,173036,4746,146839,6/10/2020
,Turkey,174023,4763,147860,6/11/2020
,Turkey,175218,4778,149102,6/12/2020
,Turkey,176677,4792,150087,6/13/2020
